species,common_name,habitat,habitat_specialization,distribution,is_endemic,diet,trophic_level,size_cm,weight_kg,reproduction_rate,conservation_status,population_trend,threats,key_facts
Trachypithecus margarita,Annamese langur,[],unknown,"['Cambodia', 'Laos', 'Vietnam']",False,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],"The Annamese langur is an Old World monkey from the Colobinae subfamily, formerly considered a subspecies of Trachypithecus germaini until elevated to species status in 2008. It has lighter fur than Trachypithecus germaini and is found in parts of Cambodia, Laos, and Vietnam."
Bradypus pygmaeus,pygmy three-toed sloth,"['red mangroves', 'arboreal forest canopy']",specialist,"['Isla Escudo de Veraguas, Panama']",True,leaves (primarily red mangrove leaves),herbivore,50.5,3.0,unknown,critically endangered,decreasing,"['habitat degradation', 'timber harvesting', 'human settlement', 'disease', 'natural causes']","Endemic to a small island (4.3 sq km), exhibits insular dwarfism, arboreal and slow-moving, symbiotic relationship with green algae for camouflage, population estimated between 500 and 3200 individuals, conservation hampered by local conflicts."
Pipistrellus maderensis,Madeira pipistrelle,[],unknown,"['Azores', 'Madeira', 'Canary Islands']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],"The Madeira pipistrelle is a species of vesper bat endemic to the Azores, Madeira, and the Canary Islands."
Plecotus sardus,Sardinian long-eared bat,"['caves', 'forests', 'calcareous terrain']",specialist,"['Sardinia, Italy']",True,unknown,unknown,4.5,0.009,unknown,critically endangered,decreasing,"['climate change', 'wildfires', 'precipitation and temperature extremes', 'direct human interference', 'competition with invasive feral pigeons']","Discovered in 2002, endemic to Sardinia, only known from three caves, population declined by 63.4% from 2003 to 2020, sole surviving endemic mammal on Sardinia."
Plecotus teneriffae,Canary long-eared bat,"['caves', 'lava tubes', 'abandoned buildings', 'forest']",specialist,['Canary Islands'],True,moths,secondary consumer,92.58718085106382,1371.0242088757395,unknown,critically endangered,decreasing,"['habitat loss due to deforestation', 'use of pesticides near forest habitat', 'loss of roosting sites due to building renovation']","Endemic to the Canary Islands with an estimated area of occurrence less than 3,000 km2, found in fewer than five locations, population declining with only two known breeding colonies, protected under Spanish law and international conventions."
Phocoena sinus,vaquita,"['shallow turbid waters', 'upper Gulf of California', 'Sea of Cortez']",specialist,"['Gulf of California', 'Mexico']",True,"generalist diet of demersal fish, crustaceans, squids, mainly benthic fish such as grunts and croakers",unknown,150.0,68.0,low,critically endangered,decreasing,"['bycatch in gillnets', 'illegal totoaba fishery', 'habitat alteration', 'pollution from agricultural runoff', 'pesticides', 'toxic compounds', 'fisheries bycatch', 'illegal fishing', 'entanglement', 'small population size', 'genetic bottleneck', 'inbreeding depression', 'anthropogenic Allee effect']","Smallest living cetacean, endemic to northern Gulf of California, critically endangered due to bycatch in illegal gillnets targeting totoaba, population fewer than 10 individuals, low reproductive rate with long gestation and calving intervals, conservation efforts include gillnet bans, protected areas, and anti-poaching enforcement."
Panthera tigris,Tiger,"['coniferous forest', 'temperate broadleaf forest', 'mixed forest', 'tropical moist broadleaf forest', 'subtropical moist broadleaf forest', 'tropical moist evergreen forest', 'tropical dry forest', 'alluvial plains', 'mangrove forest', 'peat swamp forest', 'montane forest', 'deciduous forest', 'riparian forest', 'grassland']",generalist,"['India', 'Russia', 'Northeast China', 'Southeast Asia', 'Sumatra', 'Indochinese Peninsula', 'Bangladesh', 'Myanmar', 'Malaysia', 'Cambodia', 'Bhutan', 'Nepal', 'Indonesia', 'Thailand']",False,"carnivore, mainly large and medium-sized ungulates; opportunistically smaller animals and occasionally livestock",apex predator,140.0,230.0,medium,endangered,decreasing,"['habitat destruction', 'habitat fragmentation', 'poaching', 'illegal trade of body parts', 'human-wildlife conflict', 'inbreeding depression', 'prey depletion']","Largest felid species with variable size among subspecies; apex predator with solitary behavior; population declined by over 50% since late 1990s; protected under CITES Appendix I; faces threats from habitat loss, poaching, and human conflict; conservation includes protected areas, anti-poaching patrols, and wildlife corridors."
Microcebus berthae,Madame Berthe's mouse lemur,"['dry deciduous forest', 'Kirindy Forest, Madagascar']",specialist,['Madagascar'],True,"omnivore (fruits, flowers, insect secretions, gum, arthropods, small vertebrates like geckos and chameleons)",primary consumer/secondary consumer,9.2,0.03,unknown,critically endangered,decreasing,"['deforestation', 'habitat degradation', 'slash-and-burn agriculture', 'illegal logging', 'charcoal production']","Smallest primate in the world; found only in Kirindy Forest, Madagascar; does not hibernate; population sparse and spread out; high predation mortality (70%); threatened by rapid deforestation with potential extinction within 10 years if trends continue."
Presbytis femoralis,Raffles' banded langur,"['rainforest', 'primary forest', 'secondary forest', 'swamp forest', 'mangrove forest', 'rubber plantations']",specialist,"['Singapore', 'southern peninsular Malaysia']",True,"primarily vegetarian, consisting mainly of fruits, seeds, and young leaves",herbivore,52.1,7.05,low,critically endangered,decreasing,"['habitat loss', 'deforestation', 'hunting for food', 'pet trade', 'habitat fragmentation', 'competition with invasive species', 'disease transmission']","The Raffles' banded langur is a diurnal, arboreal primate endemic to Singapore and southern peninsular Malaysia. It lives in small groups, has a primarily vegetarian diet, and is critically endangered due to habitat loss and fragmentation. The population is small and fragmented, with about 300-400 individuals remaining. Conservation efforts include habitat protection, ecological studies, and cross-border cooperation."
Lontra felina,marine otter,"['saltwater coastal environments', 'rocky shorelines', 'intertidal areas', 'caves and crevices in rocky shorelines']",specialist,"['northern Peru', 'Chile', 'southern Argentina', 'Falkland Islands (vagrant sightings)']",False,"opportunistic carnivore feeding on fish, crustaceans, mollusks, small mammals, and some plant fruit",carnivore,87.0,3.0,medium,endangered,unknown,"['human disturbance', 'domestic animals', 'disease exposure', 'entanglement in fishing nets', 'microplastic pollution', 'competition and predation by gulls, sea lions, orcas, sharks', 'parasites including Toxoplasma gondii, nematodes, acantocephalans', 'poaching']","Smallest marine mammal otter species, lives exclusively in saltwater coastal habitats, avoids sandy beaches, shows opportunistic feeding behavior, protected by law but population size and trend unknown."
Rhinopithecus brelichi,gray snub-nosed monkey,"['mixed deciduous and evergreen broadleaf forests', 'secondary forest', 'mono-groves of Asian oak (Cyclobalanopsis spp.)', 'beech (Fagus longipetiolata)', 'mixed species forests including cherry (Prunus spp.)', 'maple (Acer spp.)', 'Rhododendron spp.', 'birch (Betula spp.)']",specialist,"['Fanjingshan National Nature Reserve, Wuling Mountains, Guizhou province, China', 'adjacent community forest (Lijiadashan) - unpublished evidence', 'Jinfoshan Nature Reserve - unconfirmed anecdotal reports']",True,"young leaves, leaf and flower buds, bark, fruits, certain petioles, seeds, insect larvae; diet varies seasonally",herbivore,64.0,14.5,unknown,threatened,decreasing,"['habitat loss from forest clearing', 'illegal mining', 'non-targeted hunting', 'inadvertent snare trapping']",Most threatened of the three snub-nosed monkey species in China; population fewer than 400 individuals; lives at elevations 570-2300 m; social structure includes small groups forming larger troops; protected by Fanjingshan National Nature Reserve and UNESCO designations.
Hypogeomys antimena,Malagasy giant rat,"['Menabe region, Madagascar', 'Kirindy Forest Reserve']",specialist,['Madagascar'],True,"fruits, nuts, seeds, leaves, bark, roots, invertebrates",primary consumer,33.0,1.2,low,critically endangered,decreasing,"['habitat loss', 'limited range', 'slow reproduction', 'predation by Malagasy ground boa', 'predation by fossa', 'predation by feral dogs', 'predation by feral cats', 'toxoplasmosis parasite', 'hantavirus disease']","Monogamous pairs with low reproductive output (1-2 young per year). Nocturnal, territorial, and live in burrows. Endemic to a small region in Madagascar. Conservation efforts include protected reserves and captive breeding programs."
Myotis nimbaensis,Nimba myotis,"['natural caves', 'adits (abandoned mine shafts)', 'lowland rainforests', 'grassland vegetation on mountain slopes']",specialist,"['Nimba Mountains, Guinea', 'West Africa']",True,"unknown, suspected insectivorous similar to cape hairy bat (m. tricolor) eating beetles, tree bugs, flies, ants",insectivore,7.340000000000001,0.02,unknown,critically endangered,unknown,"['mining activities', 'habitat disturbance from mine collapse']","Discovered in 2018 and described in 2021, endemic to Nimba Mountains, lives in abandoned mining caves, small bat with orange fur and black wing pigmentation, closely related to M. tricolor, conservation efforts include creating tunnel passageways to replace mine shafts."
Perameles myosuros,south-western barred bandicoot,['southern parts of Western Australia'],unknown,['Western Australia'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,"['predation by feral cats', 'predation by foxes', 'habitat loss', 'habitat fragmentation']","Females were significantly larger than males, an unusual trait among mammals. Last specimen collected in 1906, extinction suggested around 1910."
Perameles papillon,Nullarbor barred bandicoot,['arid Nullarbor Plain'],specialist,['southern Australia'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,"['predation by non-native feral cats', 'predation by non-native foxes', 'habitat degradation due to non-native rabbits', 'habitat degradation due to livestock', 'changes in fire regime']",Described in 2018 based on museum specimens; last collected in 1928; named for dark brown patch resembling a butterfly on rump.
Chaeropus ecaudatus,southern pig-footed bandicoot,"['shrubland', ""southern regions of Australia's deserts""]",specialist,"['southern Australia', 'Western Australia']",True,herbivorous,primary consumer,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,"['predation by introduced red foxes', 'predation by feral cats', 'habitat degradation by introduced livestock']","The southern pig-footed bandicoot was a small herbivorous marsupial that rapidly adapted to drying conditions and changing environments, becoming a grazer. It was the only marsupial to walk on reduced digits on both fore and hind feet. It went extinct by the early 20th century, likely due to introduced predators and habitat degradation."
Chaeropus yirratji,northern pig-footed bandicoot,"['grassland', 'deserts']",specialist,"['central Australia', 'western Australia']",True,herbivorous,primary consumer,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,"['invasive red foxes', 'feral cats', 'habitat degradation due to livestock']",Extinct Australian marsupial restricted to grassland habitats in central and western deserts; last confirmed in 1901 with possible survival until 1950s; had two color morphs; likely extinct due to invasive predators and habitat degradation.
Petauroides volans,southern greater glider,['forests of southeastern Australia'],specialist,"['Victoria', 'New South Wales', 'Australia']",True,unknown,unknown,40.5,1.3,unknown,endangered,decreasing,"['climate change', 'logging', 'habitat loss', 'bushfires']",Largest species of Petauroides and one of the world's largest gliding mammals. Displays polymorphism with dark and light morphs. Population declined by almost 80% in some areas due to logging and bushfires. Conservation efforts include installation of thermally appropriate nesting boxes and regulation of logging.
Spalax istricus,Oltenia blind mole-rat,"['steppe', 'forest-steppe', 'hilly terrain', 'flat terrain']",specialist,"['Romania', 'Oltenia', 'Muntenia', 'Wallachian Plain']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,critically endangered,decreasing,"['agricultural intensification', 'habitat conversion to ploughed fields', 'historical persecution as agricultural pest']",Possibly extinct species endemic to southern Romania; no sightings since 1983; population likely highly fragmented with small extent of occurrence.
Trachypithecus germaini,Germain's langur,"['evergreen forest', 'semi-evergreen forest', 'riverine forest', 'mixed deciduous forest', 'gallery forest', 'lowlands']",specialist,"['Thailand', 'Myanmar', 'Cambodia', 'Laos', 'Vietnam']",False,"folivorous (leaves, shoots, fruits), mushrooms, soil",herbivore,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['hunting', 'exotic pet trading', 'habitat loss due to agricultural expansion']",Germain's langur is a folivorous Old World monkey found in Southeast Asia. It lives in various forest types in lowland areas and forms troops of 10 to 50 individuals. The species has experienced a greater than 50% population decline over the past three generations and is listed under CITES Appendix II. Conservation efforts in protected areas have shown some population increases.
Loris tardigradus,red slender loris,"['rainforests', 'lowland rainforests', 'tropical rainforests', 'inter-monsoon forests', 'wet-zone forests', 'high-altitude forests']",specialist,"['Sri Lanka', 'Southwestern wet zone of Sri Lanka', 'Central highlands of Sri Lanka']",True,"primarily insectivorous, also bird eggs, berries, leaves, buds, invertebrates, geckos, and lizards",secondary consumer,21.5,0.2275,medium,endangered,decreasing,"['habitat destruction', 'trapping for traditional medicine', 'predation by snakes', 'predation by dogs', 'predation by some fish', 'electrocution on live wires', 'road accidents', 'capture for pet trade']",Small nocturnal primate endemic to Sri Lanka's rainforests; highly social; females dominant; gestation 166-169 days; 1-2 young per litter; lifespan 15-18 years; rediscovered subspecies L. t. nycticeboides critically endangered with ~100 individuals.
Prolagus sardus,Sardinian pika,"['grasslands', 'shrublands', 'rocky terrain']",specialist,"['Corsica', 'Sardinia']",True,abrasive diet (likely herbivorous),primary consumer,28.77,0.504,unknown,extinct,decreasing,"['introduction of invasive species', 'agricultural practices', 'predation by introduced dogs, cats, and small mustelids', 'competition with introduced rodents, rabbits, and hares', 'pathogen transmission from introduced rabbits and hares']",Endemic to Corsica-Sardinia archipelago; last surviving member of Prolagus genus; extinct likely during Roman occupation; adapted to abrasive diet with hypsodont teeth; longer lifespan (~8 years) than mainland lagomorphs; hunted by early humans; preyed upon by native carnivores and birds of prey.
Enhydra lutris,sea otter,"['coastal waters', 'nearshore environments', 'rocky coastlines', 'kelp forests', 'barrier reefs', 'mud', 'sand', 'silt']",specialist,"['Russia', 'Japan', 'Alaska', 'British Columbia', 'Washington', 'Oregon', 'California', 'Mexico']",False,"marine benthic invertebrates including sea urchins, mollusks, crustaceans, some fish, and occasionally seabirds",apex predator,120.0,28.3,medium,endangered,decreasing,"['oil pollution', 'predation by orcas', 'poaching', 'conflicts with fisheries', 'entanglement in fishing gear', 'disease (Toxoplasma gondii, Sarcocystis neurona)', 'genetic bottlenecks and low genetic diversity', 'shark attacks', 'environmental degradation', 'illegal poaching']","Sea otters are the heaviest members of the weasel family and rely on the densest fur for insulation instead of blubber. They are keystone species controlling sea urchin populations and maintaining kelp forest ecosystems. Populations were decimated by the fur trade but have partially recovered due to conservation efforts. They have high metabolic rates requiring consumption of 25-38% of their body weight daily. They use tools to forage and have complex social structures. Despite recovery, populations in some areas are declining or plateauing."
Dipodomys ingens,giant kangaroo rat,"['dry sandy grasslands', 'loose soil']",specialist,"['California', 'west of the San Joaquin Valley', 'Carrizo Plain', 'Elkhorn Plain', 'Kettleman Hills']",True,"primarily seeds, also green plants and insects",primary consumer,15.0,0.335,medium,endangered,decreasing,"['habitat loss', 'agricultural development', 'habitat fragmentation', 'genetic drift', 'inbreeding']",Largest kangaroo rat species; lives in colonies with foot drumming communication; stores seeds in small pits; territorial; seasonal mating; populations fragmented into metapopulations; recovery efforts include habitat protection and translocation.
Lycaon pictus,African wild dog,"['savannas', 'arid zones', 'scrubland', 'woodland', 'montane areas', 'wet montane forest']",specialist,"['Southern Africa', 'East Africa', 'North Africa (rare)', 'West Africa (rare, Senegal, Guinea, Mali)', 'Central Africa (reduced)', 'Uganda (reduced)', 'Kenya (reduced)']",False,"hypercarnivorous, specialized hunter of terrestrial ungulates, mostly medium-sized antelopes; also small prey such as rodents, hares, birds; rarely scavenges",apex predator,71.0,27.0,high,endangered,decreasing,"['habitat fragmentation', 'human persecution', 'disease outbreaks', 'competition and predation by lions', 'kleptoparasitism by spotted hyenas']","Largest wild canine in Africa; lives in packs with strong social bonds; specialized cursorial hunter with high hunting success; reproduces with large litters (6-16 pups); males remain in natal pack, females disperse; population fragmented and declining; listed as endangered since 1990."
Crocidura canariensis,Canarian shrew,"['subtropical dry shrubland', 'tropical dry shrubland']",specialist,"['Canary Islands', 'Lanzarote', 'Fuerteventura', 'Lobos', 'Mount Clara']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,['habitat loss'],Endemic to eastern Canary Islands; natural habitat is subtropical or tropical dry shrubland; threatened by habitat loss.
Sicista severtzovi,Severtzov's birch mouse,['East-European steppes'],specialist,"['Eastern Ukraine', 'South-West Russia']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],"The Severtzov's birch mouse is a rodent species endemic to the East-European steppes, specifically Eastern Ukraine and South-West Russia."
Spalax antiquus,Mehely's blind mole-rat,"['steppe grasslands', 'forest-steppe grasslands', 'pastureland']",specialist,"['Romania', 'Transylvanian Plain', 'Carpathian Basin']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['habitat loss', 'deep tillage', 'development', 'overgrazing', 'climate change']","Endemic to central Romania, inhabits steppe and forest-steppe grasslands on the Transylvanian Plain. Population estimated between 3,550 and 3,800 mature individuals. Primary threats include habitat loss due to cultivation, deep tillage destroying burrows, development, overgrazing, and potential impacts from climate change. Classified as endangered by the IUCN Red List."
Sicista trizona,Hungarian birch mouse,"['undisturbed grassland', 'grassland grazed by livestock', 'remnant patches of tall vegetation', 'saline fescue meadows', 'wormwood-fescue steppes', 'abandoned agricultural fields', 'slopes encroached by shrubs']",specialist,"['Hungary', 'Transylvania, Romania']",False,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['mechanized agriculture', 'habitat loss', 'overgrazing', 'intensive agriculture']","Once widespread in Central Europe, now restricted to two isolated populations in Hungary and Transylvania. Dependent on specific grassland habitats which have declined due to agriculture. Rediscovered after decades of presumed extinction. Classified as Endangered due to rarity and ongoing threats."
Spermophilus citellus,European ground squirrel,"['steppes', 'pasture', 'dry banks', 'sports fields', 'parks', 'lawns', 'railway embankments', 'road cuttings', 'road verges']",specialist,"['southern Ukraine', 'Asia Minor', 'Austria', 'Czech Republic', 'Slovakia', 'Serbia', 'Hungary', 'Greece', 'Romania', 'Moldova', 'Bulgaria', 'North Macedonia', 'Poland']",False,"seeds, plant shoots and roots, flightless invertebrates, grasses, flowers, cultivated crops, insects, occasionally eggs and chicks of ground nesting birds",herbivore/omnivore,20.0,0.3,medium,endangered,decreasing,"['conversion of grassland and pasture to cultivated fields', 'conversion of grassland to forestry', 'abandonment of grassland leading to tall grass meadows and bushy habitats', 'urbanization', 'road building', 'habitat fragmentation']","Colonial, diurnal rodent with specific habitat needs for short turf to dig tunnels. Hibernates from autumn to March. Breeds once a year with 5-8 young. Population declining over last 10 years by more than 30%."
Spermophilus suslicus,speckled ground squirrel,"['temperate grassland', 'cultivated ground']",specialist,"['Belarus', 'Moldova', 'Poland', 'European Russia', 'Ukraine']",False,"mostly grasses and cereals, also small vertebrates and arthropods",herbivore/omnivore,25.0,0.28,high,critically endangered,decreasing,"['habitat loss', 'habitat fragmentation', 'agricultural expansion', 'forestry expansion', 'reduction of pasturing', 'urban development', 'industrial development', 'hunting as agricultural pest', 'climate change']","The species has experienced a 99% population decline over 30 years, is diurnal and hibernates from October to April, lives in colonies up to 160 individuals per hectare, and is protected under national law in Poland and Appendix II of the Bern Convention."
Sicista loriger,Nordmann's birch mouse,['steppe'],specialist,"['southern Ukraine', 'west Belgorod (Russia)', 'eastern Romania', 'Bulgaria', 'Moldova']",False,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,critically endangered,decreasing,"['habitat fragmentation', 'development', 'agriculture']",Species has fragmented distribution in the western Pontic–Caspian steppe; was previously considered a subspecies of S. subtilis but recognized as distinct species in 2016.
Plecturocebus vieirai,Vieira's titi monkey,['central-northern Brazil'],unknown,['Brazil'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],"Vieira's titi monkey is a species of New World monkey from central-northern Brazil, belonging to the family Pitheciidae."
Mico schneideri,Schneider's marmoset,"['primary terra firma rainforest', 'secondary terra firma rainforest', 'transition zone to the Cerrado']",specialist,"['Brazil', 'Amazon rainforest of Mato Grosso state', 'interfluve between the Juruena and Teles Pires rivers']",True,"exudates (tree sap), likely supplemented by insects and other small animals",primary consumer,14.0,0.3,unknown,not evaluated,decreasing,"['deforestation', 'agricultural encroachment', 'land use change', 'habitat loss']","Schneider's marmoset is a recently described species endemic to a restricted area in the Amazon rainforest of Mato Grosso, Brazil. It inhabits primary and secondary terra firma rainforests and the transition zone to the Cerrado. It is found in the 'arc of deforestation', a region under intense pressure from deforestation and agricultural expansion, which threatens its habitat and population."
Loxodonta africana,African bush elephant,"['forests', 'grasslands', 'woodlands', 'wetlands', 'agricultural land', 'desert', 'semi-desert']",generalist,"['Uganda', 'Kenya', 'Tanzania', 'Botswana', 'Zimbabwe', 'Namibia', 'Zambia', 'Angola', 'Malawi', 'Mali', 'Rwanda', 'Mozambique', 'South Africa', 'Ethiopia', 'Somalia', 'South Sudan']",False,"mixed herbivore (grasses, creepers, herbs, leaves, bark, fruit)",herbivore,320.0,6000.0,low,endangered,decreasing,"['habitat destruction', 'poaching for meat and ivory', 'human-elephant conflict', 'disease (anthrax, tuberculosis, bacterial infections, cyanobacteria toxins)', 'habitat fragmentation', 'illegal ivory trade', 'poisoning of carcasses']",Largest living terrestrial animal; gestation period around 22 months; social animal traveling in herds; males experience musth; population declined by over 50% in 3 generations; poaching and habitat loss are primary threats; population increasing in some protected areas but decreasing overall.
Macaca nemestrina,southern pig-tailed macaque,"['rainforest', 'plantations', 'gardens']",generalist,"['southern half of the Malay Peninsula', 'southern Thailand', 'Borneo', 'Sumatra', 'Bangka Island']",False,"omnivorous (fruits, seeds, berries, cereals, fungi, invertebrates)",primary consumer,54.0,8.5,low,null,unknown,['predation by reticulated pythons'],"Medium-sized macaque with sexual dimorphism; mainly terrestrial but skilled climber; unique affinity for water; lives in large social groups with hierarchical structure; female gestation ~5.7 months, one infant every two years; important seed disperser for certain rattan species; historically trained to harvest coconuts."
Crocidura zimmermanni,Cretan shrew,"['temperate shrubland', 'mountainous regions']",specialist,"['Crete, Greece']",True,insectivore,primary consumer,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['habitat loss', 'competition with invasive shrew species']","Endemic to Crete, found only on three mountains; displaced from lower altitudes by introduced shrew species; did not exhibit island gigantism; primary predators are owls and other predatory birds."
Galemys pyrenaicus,Pyrenean desman,"['mountain lakes', 'fast-flowing streams', 'oligotrophic streams', 'clear, nutrient-poor watercourses', 'high-altitude lakes', 'mountain streams']",specialist,"['Andorra', 'Spain', 'France', 'Portugal']",True,"insectivorous, primarily aquatic larvae of mayflies, stoneflies, caddisflies; also dipteran larvae, freshwater shrimp, and opportunistically other invertebrates and some terrestrial prey",secondary consumer,25.0,0.05,medium,endangered,decreasing,"['habitat fragmentation', 'water impoundments (dams)', 'bank reinforcement with riprap', 'water pollution', 'water intakes causing accidental mortality', 'predation by invasive American mink', 'climate change', 'tourism activities degrading benthic fauna', 'urban and technological expansion', 'fishing and fish farming persecution (historical)']","Small semiaquatic mammal endemic to mountainous regions of the Pyrenees and northwestern Iberian Peninsula; highly specialized for life in clear, fast-flowing mountain streams; excellent swimmer with webbed hind feet; diet mainly aquatic insect larvae sensitive to pollution; poor vision but highly developed tactile and olfactory senses; population declining due to habitat loss and fragmentation; considered a bioindicator of aquatic environmental quality; protected by law and subject to conservation programs in France, Spain, Portugal, and Andorra."
Sousa plumbea,Indian Ocean humpback dolphin,"['coastal areas', 'waters shallower than 20 meters', 'various coastal habitats depending on location']",specialist,"['Southern Africa', 'Western Indochina', 'East Africa', 'Middle East', 'India', 'Tanzania (Zanzibar Archipelago)', 'Southeast Asia', 'Southern coastlines of China', 'Arabian peninsula', 'Sultanate of Oman', 'United Arab Emirates']",False,"sciaenid fishes, cephalopods, crustaceans",unknown,280.0,200.0,unknown,endangered,unknown,"['environmental pollution', 'habitat deterioration', 'noise pollution', 'by-catch mortality', 'vessel striking', 'chemical pollution (organochlorines)']","Medium-sized dolphin with a fatty hump on the back, inhabits shallow coastal waters, social species living in groups averaging 12 individuals, high calf and juvenile mortality due to anthropogenic disturbances, no large migratory behavior, susceptible to chemical pollution and habitat degradation."
Desmana moschata,Russian desman,"['pond banks', 'slow-moving streams', 'small overgrown ponds']",specialist,"['Volga River basin, Russia', 'Don River basin, Russia', 'Ural River basin, Russia']",True,"insects, crayfish, amphibians",carnivore,18.5,0.46,unknown,protected species under russian law,decreasing,"['habitat loss due to farming', 'water pollution', 'illegal fishing nets', 'introduction of non-native species (muskrat)']","Largest species of mole, semiaquatic, functionally blind, uses Eimer's organs for sensory input, lives in small groups, population declined from 70,000 in 1970s to 6,000 in 2020."
Prosciurillus rosenbergii,Sanghir squirrel,"['old-growth lowland tropical rainforest', 'towns', 'farms', 'various ecosystems of Sangir Island']",generalist,"['Sangir Islands, Indonesia']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],"The Sanghir squirrel is the only squirrel species on the volcanic Sangir Islands, Indonesia. It is the most abundant mammal on heavily cultivated Sangir Island and has adapted to various climatic zones including towns, farms, and dwindling old-growth lowland tropical rainforest."
Bunomys coelestis,heavenly hill rat,"['subtropical dry forest', 'tropical dry forest']",specialist,"['southwestern Sulawesi, Indonesia']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,['habitat loss'],"Found only on Mount Lompobatang in southwestern Sulawesi, Indonesia; natural habitat is subtropical or tropical dry forest; threatened by habitat loss."
Rattus mollicomulus,little soft-furred rat,['upper slopes of Mount Lompobattang'],specialist,"['Bantaeng Regency, South Sulawesi, Indonesia']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],"Species is named for its soft, silky fur; smaller than a roof rat but larger than a house mouse; found only on upper slopes of Mount Lompobattang."
Bradypus torquatus,northern maned sloth,"['Atlantic coastal rainforest', 'wet tropical forests', 'evergreen forests', 'semi-deciduous forests', 'secondary forests']",specialist,"['Brazil', 'Espírito Santo', 'Rio de Janeiro', 'Bahia']",True,"folivore (exclusively tree leaves, prefers younger leaves)",herbivore,65.0,7.0,low,vulnerable,decreasing,"['habitat loss due to deforestation', 'lumber extraction', 'charcoal production', 'clearance for plantations', 'cattle pastures', 'hunting', 'disease', 'predation', 'inbreeding due to habitat fragmentation']","Endemic to Atlantic coastal rainforest of Brazil; solitary, diurnal, folivore with slow metabolism; habitat reduced to 7% of original range; listed as Vulnerable with decreasing population trend; reproduction mostly seasonal with one offspring per year; protected in several biological reserves."
Bradypus crinitus,southern maned sloth,['Atlantic Forest'],specialist,"['Brazil', 'Rio de Janeiro', 'Espírito Santo']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,[],"The southern maned sloth has a coconut-like head, is endemic to Brazil's Atlantic Forest, and diverged from B. torquatus over 4 million years ago. It was evaluated as Endangered by the IUCN in March 2025 with a decreasing population."
Bos primigenius,Aurochs,"['riparian forests', 'wetlands', 'temperate grassy plains', 'grasslands bordering woodlands', 'open grasslands', 'forest margins', 'marshy woodland']",generalist,"['Western Europe', 'North Africa', 'Indian subcontinent', 'East Asia', 'Mesopotamia', 'Pontic–Caspian steppe', 'Caucasus', 'Western Siberia', 'Gulf of Finland', 'Lake Ladoga', 'Denmark', 'Southern Sweden', 'Poland', 'Bulgaria', 'Italy', 'Hungary', 'China', 'North Korea', 'Japanese archipelago', 'Sudan']",False,"mixed feeder (grass, twigs, acorns), primarily grazer",herbivore,180.0,700.0,unknown,extinct,decreasing,"['habitat loss', 'hunting', 'hybridization with domestic cattle', 'competition with livestock', 'deforestation']","The aurochs was a large wild bovine species, ancestor of modern cattle, widely distributed across Europe, Asia, and North Africa. It exhibited sexual dimorphism, had large curved horns, and preferred diverse habitats including grasslands and forest margins. It became extinct due to habitat loss, overhunting, and genetic introgression with domestic cattle, with the last individual dying in 1627 in Poland."
Platanista minor,Indus river dolphin,"['freshwater rivers', 'wetlands']",specialist,"['Pakistan', 'northwestern India']",True,unknown,unknown,240.0,364.5,unknown,endangered,increasing,"['entanglement in fishing nets', 'hunting for oil and meat', 'irrigation lowering water levels', 'water pollution from industrial and agricultural chemicals', 'habitat fragmentation due to dams', 'reduced prey availability', 'accidental entanglement in fishing nets']","The Indus river dolphin is a freshwater dolphin endemic to the Indus basin in Pakistan and northwestern India. It is effectively blind and uses echolocation for navigation and hunting. The species has experienced an 80% range decline since 1870 and is fragmented into small sub-populations separated by irrigation barrages. It is the second most endangered cetacean globally with an estimated population of about 1,800 individuals as of 2017."
